company_id,company_size,employees,annual_revenue,baseline_ebitda,ebitda_margin,industry,company_age,region,ownership,growth_stage,project_type,complexity,investment_amount,ai_intensity,deployment_months,has_kpi_tracking,is_mature_implementation,is_successful,success_probability,revenue_impact_pct,ebitda_impact_pct,valuation_multiple_expansion,revenue_increase_absolute,ebitda_increase_absolute,annual_roi,payback_months,project_id,start_date,status,completion_percentage,primary_technology,team_size,has_external_vendor
COMP_0001,Small,3,282711.22,49619.26,0.1755,Technology,13,Europe,Private,Mature,Computer Vision,Basic,3791.55,0.013411,3,False,False,True,0.71,4.57,10.06,0.461,12933.96,4993.01,2.3641,9.1,AI_PROJ_0001,2023-05-20,Completed,1.0,IBM Watson + Java,6,False
COMP_0002,Medium,71,19990320.22,2357084.65,0.1179,Government,1,North America,Private,Startup,Predictive Analytics,Basic,357503.65,0.017884,5,False,False,False,0.34,5.0,5.45,0.25,999516.01,128568.22,1.5777,33.4,AI_PROJ_0002,2024-05-30,Completed,1.0,H2O.ai + R,15,False
COMP_0003,Medium,499,164662651.77,32104106.48,0.195,Other,5,North America,Private,Startup,Customer Analytics/Personalization,Intermediate,9098556.2,0.055256,3,False,False,False,0.56,5.0,5.12,0.25,8233132.59,1644528.63,0.5428,66.4,AI_PROJ_0003,2023-12-25,Completed,1.0,Azure ML + .NET,2,False
COMP_0004,Small,5,511297.27,73270.16,0.1433,Healthcare,9,Europe,Private,Growth,Predictive Analytics,Basic,13646.11,0.026689,3,False,False,True,0.54,19.24,38.57,1.65,98380.18,28262.21,4.6402,5.8,AI_PROJ_0004,2025-02-20,Deployment,0.73,IBM Watson + Java,6,False
COMP_0005,Medium,50,12563934.91,2231875.43,0.1776,Technology,42,North America,Private,Mature,Customer Analytics/Personalization,Intermediate,111790.31,0.008898,3,False,False,True,0.71,6.25,12.02,1.337,785322.81,268338.04,4.7127,5.0,AI_PROJ_0005,2024-12-25,Deployment,0.87,Apache Spark + Scala,24,False
COMP_0006,Small,49,3531232.95,577496.23,0.1635,Manufacturing,5,North America,Private,Startup,Predictive Analytics,Intermediate,60237.37,0.017058,5,False,True,False,0.67,5.0,4.52,0.25,176561.65,26079.06,1.682,27.7,AI_PROJ_0006,2025-04-07,Development,0.62,IBM Watson + Java,5,False
COMP_0007,Small,16,2143390.14,455568.64,0.2125,Financial Services,34,Asia-Pacific,Private,Mature,Process Automation,Intermediate,79786.7,0.037225,3,True,False,True,0.78,24.7,80.0,3.203,529517.26,364454.91,5.6023,2.6,AI_PROJ_0007,2022-10-07,Completed,1.0,Microsoft Power Platform,6,False
COMP_0008,Small,34,6623547.7,434665.88,0.0656,Retail/E-commerce,12,Europe,Private,Mature,Process Automation,Basic,238026.41,0.035936,3,False,False,True,0.75,24.11,33.02,3.127,1596779.87,143513.8,3.6557,19.9,AI_PROJ_0008,2025-04-23,Development,0.42,Custom ML Pipeline,10,False
COMP_0009,Small,13,2485514.35,99400.89,0.04,Transportation/Logistics,18,North America,Private,Mature,Natural Language Processing,Basic,22240.89,0.008948,4,False,True,True,0.71,5.35,5.58,0.261,133057.3,5545.9,3.116,48.1,AI_PROJ_0009,2023-10-17,Completed,1.0,Scikit-learn + Python,4,False
COMP_0010,Small,18,2640356.91,550875.21,0.2086,Manufacturing,14,North America,Private,Growth,Natural Language Processing,Intermediate,44287.89,0.016773,4,True,False,False,0.74,-0.26,-0.22,-0.013,-6839.72,-1230.91,-0.0911,120.0,AI_PROJ_0010,2023-06-19,Completed,1.0,Scikit-learn + Python,11,True
COMP_0011,Large,5775,4670597290.43,183086199.21,0.0392,Retail/E-commerce,8,Europe,Private,Growth,Process Automation,Intermediate,74126681.3,0.015871,6,False,False,True,0.55,9.85,14.56,1.12,460195858.2,26654605.29,3.2839,33.4,AI_PROJ_0011,2022-10-24,Completed,1.0,DataRobot Platform,23,False
COMP_0012,Small,30,5904054.18,418555.49,0.0709,Manufacturing,7,Europe,Private,Growth,Supply Chain Optimization,Intermediate,168661.75,0.028567,3,False,False,True,0.81,20.25,36.15,2.2,1195348.58,151319.62,3.9922,13.4,AI_PROJ_0012,2022-11-12,Completed,1.0,IBM Watson + Java,5,True
COMP_0013,Medium,287,165076599.39,17293806.83,0.1048,Media/Entertainment,6,Asia-Pacific,Private,Mature,Natural Language Processing,Intermediate,6502197.9,0.039389,3,False,False,True,0.56,29.87,38.71,2.464,49308962.83,6695218.2,4.3066,11.7,AI_PROJ_0013,2022-10-15,Completed,1.0,AWS SageMaker + Python,6,True
COMP_0014,Large,3181,1697995036.56,419331183.46,0.247,Media/Entertainment,54,Other,Private,Mature,Supply Chain Optimization,Intermediate,28195062.29,0.016605,3,False,False,True,0.53,11.85,18.51,1.701,201204273.41,77622776.08,4.9446,4.4,AI_PROJ_0014,2024-04-05,Completed,1.0,H2O.ai + R,20,False
COMP_0015,Small,2,477297.64,70887.74,0.1485,Technology,8,Asia-Pacific,Private,Growth,Process Automation,Basic,11787.72,0.024697,3,False,False,True,0.88,15.73,37.64,1.299,75065.35,26683.5,4.3159,5.3,AI_PROJ_0015,2025-07-13,Planning,0.18,TensorFlow + Python,2,False
COMP_0016,Small,39,9076647.83,1383196.73,0.1524,Professional Services,1,North America,Private,Startup,Customer Analytics/Personalization,Basic,51932.25,0.005722,3,False,False,True,0.64,3.44,4.97,0.41,312221.6,68706.46,3.6675,9.1,AI_PROJ_0016,2025-08-19,Planning,0.24,PyTorch + Python,6,True
COMP_0017,Small,26,6396821.17,1100578.28,0.1721,Financial Services,2,Europe,Private,Growth,Customer Analytics/Personalization,Intermediate,427876.36,0.066889,3,False,False,False,0.71,5.0,4.26,0.25,319841.06,46866.13,0.4285,109.6,AI_PROJ_0017,2025-07-09,Planning,0.1,AWS SageMaker + Python,8,False
COMP_0018,Medium,148,36011460.13,11338562.36,0.3149,Financial Services,11,Asia-Pacific,Private,Mature,Computer Vision,Intermediate,315978.1,0.008774,10,True,False,True,0.51,8.72,50.83,1.254,3141132.27,5763033.25,14.0898,0.7,AI_PROJ_0018,2022-11-13,Completed,1.0,H2O.ai + R,3,False
COMP_0019,Large,956,1265617685.01,303513111.35,0.2398,Technology,4,Europe,Public,Startup,Process Automation,Intermediate,55767270.26,0.044063,3,True,False,True,0.68,25.55,80.0,2.283,323327693.54,242810489.08,5.0759,2.8,AI_PROJ_0019,2025-01-08,Deployment,0.79,PyTorch + Python,4,False
COMP_0020,Medium,50,31624736.44,6897618.81,0.2181,Technology,1,Asia-Pacific,Public,Startup,Natural Language Processing,Intermediate,887410.6,0.028061,3,False,True,True,0.71,24.37,42.65,3.621,7705768.95,2942008.86,5.9994,3.6,AI_PROJ_0020,2023-06-15,Completed,1.0,Azure ML + .NET,22,True
COMP_0021,Medium,115,63551719.46,635517.19,0.01,Technology,1,Europe,Private,Startup,Predictive Analytics,Basic,1092430.01,0.01719,3,True,False,True,0.64,11.28,74.78,0.824,7168835.84,475269.75,3.4987,27.6,AI_PROJ_0021,2024-11-25,Deployment,0.74,H2O.ai + R,5,True
COMP_0022,Small,1,105682.4,13832.15,0.1309,Financial Services,1,Europe,Private,Growth,Supply Chain Optimization,Basic,2842.65,0.026898,4,False,False,True,0.78,15.0,22.71,1.692,15847.21,3140.86,3.3399,10.9,AI_PROJ_0022,2025-05-08,Development,0.49,TensorFlow + Python,5,False
COMP_0023,Small,3,581411.0,12782.27,0.022,Healthcare,13,North America,Private,Growth,Predictive Analytics,Intermediate,12587.37,0.02165,3,False,False,False,0.54,5.0,4.1,0.25,29070.55,523.59,1.1755,120.0,AI_PROJ_0023,2023-04-09,Completed,1.0,Google Cloud AI + Python,21,False
COMP_0024,Medium,77,26403587.18,7704309.01,0.2918,Technology,35,North America,Private,Mature,Computer Vision,Advanced,901037.75,0.034126,10,True,False,True,0.61,15.97,80.0,1.534,4217588.75,6163447.21,5.7606,1.8,AI_PROJ_0024,2024-05-08,Completed,1.0,H2O.ai + R,4,False
COMP_0025,Small,4,459789.01,107132.31,0.233,Financial Services,1,Europe,Private,Growth,Process Automation,Basic,1987.97,0.004324,3,False,False,True,0.78,-1.9,-2.77,-0.145,-8746.36,-2962.78,-2.945,120.0,AI_PROJ_0025,2023-04-10,Completed,1.0,Scikit-learn + Python,9,False
COMP_0026,Small,17,1091274.33,139309.5,0.1277,Government,10,Europe,Private,Mature,Predictive Analytics,Intermediate,32528.85,0.029808,8,False,False,False,0.44,4.15,3.41,0.208,45327.41,4755.86,0.7698,82.1,AI_PROJ_0026,2025-02-08,Deployment,0.9,Google Cloud AI + Python,16,True
COMP_0027,Small,22,4497777.92,479625.93,0.1066,Transportation/Logistics,9,Asia-Pacific,Private,Growth,Predictive Analytics,Intermediate,71235.86,0.015838,7,False,False,False,0.64,0.56,0.52,0.028,25383.99,2501.06,0.1957,120.0,AI_PROJ_0027,2022-12-13,Completed,1.0,H2O.ai + R,4,True
COMP_0028,Medium,101,24965765.28,6518226.31,0.2611,Technology,9,Europe,Private,Mature,Customer Analytics/Personalization,Basic,842381.38,0.033741,3,True,False,True,0.71,23.95,77.21,2.522,5979709.02,5032827.2,6.5366,2.0,AI_PROJ_0028,2024-06-12,Completed,1.0,DataRobot Platform,9,True
